name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,tnc,form,phase,geometry
kaempferol,C15H10O6,31,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-6.030236673145562,-2.310127312697052,3.72010936044851,6.030236673145562,2.310127312697052,4.170181992921307,1.860054680224255,0.5376186037065515,-4.170181992921307,4.674706082293364,0.17467712481451042,-0.46501367005606375,Fe(110),4.82,-5.798,neutral,gas,DFT-opt b3lyp/6-31G(d) (gas)
kaempferol,C15H10O6,31,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-5.9711603429562405,-2.280938542532699,3.6902218004235414,5.9711603429562405,2.280938542532699,4.12604944274447,1.8451109002117707,0.5419728428709765,-4.12604944274447,4.613349799737784,0.18805117816383915,-0.4612777250529427,Fe(110),4.82,-6.0919,neutral,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
kaempferol+H+,C15H11O6+,32,Oc1ccc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)cc1,1,"B3LYP/6-311++G(d,p) (gas)",-9.624063510354027,-6.272609628204584,3.3514538821494435,9.624063510354027,6.272609628204584,7.948336569279306,1.6757269410747218,0.596755936476532,-7.948336569279306,18.850342699039313,-0.9334267095070267,-0.41893173526868044,Fe(110),4.82,-3.8346,protonated,gas,DFT-opt b3lyp/6-31G(d) (gas)
kaempferol+H+,C15H11O6+,32,Oc1ccc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)cc1,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.600820123338823,-3.187591100426919,3.413229022911904,6.600820123338823,3.187591100426919,4.894205611882871,1.706614511455952,0.5859554066177939,-4.894205611882871,7.017767753231724,-0.02174058974207484,-0.426653627863988,Fe(110),4.82,-4.2047,protonated,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
quercetin,C15H10O7,32,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-5.982917183118141,-2.3646294711699225,3.618287711948218,5.982917183118141,2.3646294711699225,4.173773327144032,1.809143855974109,0.5527476417631607,-4.173773327144032,4.814538028265085,0.1786001347327951,-0.4522859639935273,Fe(110),4.82,-6.1842,neutral,gas,DFT-opt b3lyp/6-31G(d) (gas)
quercetin,C15H10O7,32,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-5.91099087888434,-2.306897620324072,3.6040932585602685,5.91099087888434,2.306897620324072,4.108944249604206,1.8020466292801343,0.5549245972616542,-4.108944249604206,4.684513311706011,0.19729116295948476,-0.45051165732003357,Fe(110),4.82,-6.5521,neutral,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
quercetin+H+,C15H11O7+,33,Oc1cc(O)c2c(=[OH+])c(O)c(-c3ccc(O)c(O)c3)oc2c1,1,"B3LYP/6-311++G(d,p) (gas)",-9.37097853687314,-6.2518436440012355,3.119134892871905,9.37097853687314,6.2518436440012355,7.811411090437188,1.5595674464359526,0.6412034325833611,-7.811411090437188,19.562521442483494,-0.9590515297281301,-0.38989186160898814,Fe(110),4.82,-4.3522,protonated,gas,DFT-opt b3lyp/6-31G(d) (gas)
quercetin+H+,C15H11O7+,33,Oc1cc(O)c2c(=[OH+])c(O)c(-c3ccc(O)c(O)c3)oc2c1,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.477152978706629,-3.2142383802065773,3.2629145985000516,6.477152978706629,3.2142383802065773,4.845695679456603,1.6314572992500258,0.6129489263737984,-4.845695679456603,7.19625534443911,-0.00787506956768497,-0.40786432481250645,Fe(110),4.82,-4.7541,protonated,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
isorhamnetin,C16H12O7,35,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0,"B3LYP/6-311++G(d,p) (gas)",-5.697248368738078,-1.9957999915077498,3.701448377230329,5.697248368738078,1.9957999915077498,3.846524180122914,1.8507241886151644,0.5403290269568838,-3.846524180122914,3.9972861324467326,0.26299862126012036,-0.4626810471537911,Fe(110),4.82,-6.6371,neutral,gas,DFT-opt b3lyp/6-31G(d) (gas)
isorhamnetin,C16H12O7,35,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-5.804940238253846,-2.1180612453669663,3.68687899288688,5.804940238253846,2.1180612453669663,3.961500741810406,1.84343949644344,0.54246423705758,-3.961500741810406,4.256578031891459,0.23285257255415828,-0.46085987411086,Fe(110),4.82,-6.8502,neutral,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
isorhamnetin+H+,C16H13O7+,36,COc1cc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)ccc1O,1,"B3LYP/6-311++G(d,p) (gas)",-9.009463957387172,-6.215630364048367,2.793833593338805,9.009463957387172,6.215630364048367,7.61254716071777,1.3969167966694025,0.7158622491935447,-7.61254716071777,20.742421600313453,-0.9995395457252348,-0.3492291991673506,Fe(110),4.82,-6.6685,protonated,gas,DFT-opt b3lyp/6-31G(d) (gas)
isorhamnetin+H+,C16H13O7+,36,COc1cc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)ccc1O,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.268997195017157,-3.260681340024547,3.0083158549926097,6.268997195017157,3.260681340024547,4.764839267520852,1.5041579274963048,0.6648238072078749,-4.764839267520852,7.546977890512904,0.018336084087581233,-0.3760394818740762,Fe(110),4.82,-7.0443,protonated,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
